Gene Name,MeanLN_INS,P-valueLN_INSvsCON,FC,logP
MGLL,1.725876462,0.18,0.7873292002998548,0.744727494896694
MICAL1,0.947900335,0.84,-0.07719271694529953,0.07572071393811836
MLLT11,0.966311456,0.28,-0.0494398296304955,0.5528419686577808
MLST8,0.886244203,0.05,-0.17422380929741405,1.3010299956639813
"MOB1A,MOB1B",0.815133812,0.38,-0.29489118393327757,0.42021640338318983
MRTO4,0.722672388,0.05,-0.46858632229521086,1.3010299956639813
MSH6,0.741123542,0.03,-0.432214041459417,1.5228787452803376
MSN,0.816848269,0.06,-0.2918599747669117,1.2218487496163564
MTHFD1,0.849359011,0.25,-0.23555360717436852,0.6020599913279624
MTOR,0.838377895,0.14,-0.2543274161731363,0.8538719643217619
MTSS1L,0.801629824,0.04,-0.3189919110342583,1.3979400086720375
MTX3,1.16430956,0.98,0.2194746847941109,0.00877392430750515
